	CONC	UPTAKE
QB NC	95	16
QB NC	175	30.4
QB NC	250	34.8
QB NC	350	37.2
QB NC	500	35.3
QB NC	675	39.2
QB NC	1000	39.7
QB NC	95	13.6
QB NC	175	27.3
QB NC	250	37.1
QB NC	350	41.8
QB NC	500	40.6
QB NC	675	41.4
QB NC	1000	44.3
QB NC	95	16.2
QB NC	175	32.4
QB NC	250	40.3
QB NC	350	42.1
QB NC	500	42.9
QB NC	675	43.9
QB NC	1000	45.5
QB C	95	14.2
QB C	175	24.1
QB C	250	30.3
QB C	350	34.6
QB C	500	32.5
QB C	675	35.4
QB C	1000	38.7
QB C	95	9.3
QB C	175	27.3
QB C	250	35
QB C	350	38.8
QB C	500	38.6
QB C	675	37.5
QB C	1000	42.4
QB C	95	15.1
QB C	175	21
QB C	250	38.1
QB C	350	34
QB C	500	38.9
QB C	675	39.6
QB C	1000	41.4
MS NC	95	10.6
MS NC	175	19.2
MS NC	250	26.2
MS NC	350	30
MS NC	500	30.9
MS NC	675	32.4
MS NC	1000	35.5
MS NC	95	12
MS NC	175	22
MS NC	250	30.6
MS NC	350	31.8
MS NC	500	32.4
MS NC	675	31.1
MS NC	1000	31.5
MS NC	95	11.3
MS NC	175	19.4
MS NC	250	25.8
MS NC	350	27.9
MS NC	500	28.5
MS NC	675	28.1
MS NC	1000	27.8
MS C	95	10.5
MS C	175	14.9
MS C	250	18.1
MS C	350	18.9
MS C	500	19.5
MS C	675	22.2
MS C	1000	21.9
MS C	95	7.7
MS C	175	11.4
MS C	250	12.3
MS C	350	13
MS C	500	12.5
MS C	675	13.7
MS C	1000	14.4
MS C	95	10.6
MS C	175	18
MS C	250	17.9
MS C	350	17.9
MS C	500	17.9
MS C	675	18.9
MS C	1000	19.9
